
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.6 (shown are averages)
------------------------------
             eval-loss     lower-CI     upper-CI  n-seeds    train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config239     7.760044     7.292920     8.227169      100     0.737369       0.500742        1.366102     8.022499         8.174314       7.814872           7.259302        7.762965            7.030549       7.711058           6.801796        7.693756            6.725545     7.676454         6.649294
config492     8.032893     7.615450     8.450336      100     0.925200       0.771891        1.801229     8.629125         8.452306       8.178867           7.261002        8.066303            6.963175       7.953739           6.665349        7.916217            6.566074     7.878696         6.466799
config189     8.565289     8.027978     9.102599      100     0.781303       0.498980        1.795064     7.171656         9.877741       7.202070           8.066309        7.209674            7.613451       7.217277           7.160593        7.219812            7.009640     7.222346         6.858687
config461     8.572533     8.109546     9.035519      100     0.736822       0.856435        1.275533     8.233197         7.785915       8.286028           7.716098        8.299235            7.698644       8.312443           7.681189        8.316845            7.675371     8.321248         7.669553
config40      8.690600     8.142289     9.238912      100     1.020871       0.823588        1.901912     9.913794        10.792903       8.970394           7.867012        8.734544            7.135540       8.498694           6.404067        8.420077            6.160243     8.341461         5.916419
config404     8.711104     8.009072     9.413135      100     1.204716       0.964023        1.907229     8.244715        11.608310       7.126024           7.747081        6.846351            6.781773       6.566679           5.816466        6.473454            5.494697     6.380230         5.172928
config409     8.758002     8.306682     9.209322      100     1.285692       1.517560        1.368857     7.418684         8.057069       6.960456           7.240442        6.845899            7.036285       6.731342           6.832128        6.693157            6.764076     6.654971         6.696024
config67      8.956555     8.411616     9.501494      100     1.073968       1.199724        0.985962     8.592179         8.867932       7.731667           7.756831        7.516539            7.479056       7.301411           7.201280        7.229701            7.108689     7.157992         7.016097
config86      9.098255     8.452781     9.743729      100     0.933457       1.073634        1.974751     8.300258         9.436930       7.848521           8.024621        7.735587            7.671543       7.622653           7.318466        7.585009            7.200773     7.547364         7.083081
config414     9.165529     8.560592     9.770465      100     0.606099       0.525110        1.286354    10.410393         7.206799       9.731289           8.640419        9.561513            8.998823       9.391736           9.357228        9.335144            9.476696     9.278552         9.596165
config160     9.236128     8.711531     9.760725      100     0.823029       1.174965        1.326934     8.355204         9.503463       8.022843           8.061163        7.939753            7.700588       7.856663           7.340013        7.828966            7.219822     7.801270         7.099630
